checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model
160,u0.15_s00,nn,100,500,0.15,0.1,0.11007227748632431,0.11007227748632431,4.314349292929292,0.10980000000000001,0.11007227748632431,0.06635452806949615,0.025832056999206543,0.041682294011116026,0.08947914838790894,0.2100966691970825,0.39883938431739807,0.06564094871282578,0.06635452806949615,0.019719893112778664,community,curvature
160,u0.15_s00,matched_random,100,500,0.15,0.1,0.11007227748632431,0.11007227748632431,5.463849898989899,0.11135999999999999,0.11007226258516312,1.4901161193847656e-08,0.11007227748632431,0.11007227748632431,0.11007227748632431,0.11007227748632431,0.11007227748632431,1.4901161193847656e-08,1.4901161193847656e-08,2.9802322387695312e-08,community,curvature
160,u0.15_s01,nn,100,500,0.15,0.1,0.10824890434741974,0.10824890434741974,4.269385858585862,0.10744,0.10824890434741974,0.0654272735118866,0.025488168001174927,0.0391213595867157,0.08645771443843842,0.20561173558235166,0.33775007724761963,0.06463716179132462,0.0654272735118866,0.019456325098872185,community,curvature
160,u0.15_s01,matched_random,100,500,0.15,0.1,0.10824890434741974,0.10824890434741974,5.520910303030306,0.10566,0.10824892669916153,2.2351741790771484e-08,0.10824890434741974,0.10824890434741974,0.10824890434741974,0.10824890434741974,0.10824890434741974,0.0,2.2351741790771484e-08,2.9802322387695312e-08,community,curvature
160,u0.15_s02,nn,100,500,0.15,0.1,0.11221706122159958,0.11221706122159958,4.330783838383835,0.11248,0.11221706122159958,0.0676303505897522,0.025743752717971802,0.042132693529129024,0.08836248517036438,0.21431862711906435,0.32333680987358093,0.06682180613279343,0.0676303505897522,0.0192575566470623,community,curvature
160,u0.15_s02,matched_random,100,500,0.15,0.1,0.11221706122159958,0.11221706122159958,5.295873939393939,0.11348000000000001,0.11221706122159958,0.0,0.11221706122159958,0.11221706122159958,0.11221706122159958,0.11221706122159958,0.11221706122159958,7.450580596923828e-09,0.0,0.0,community,curvature
160,u0.15_s03,nn,100,500,0.15,0.1,0.10186684876680374,0.10186684876680374,4.9192492929292895,0.10156000000000001,0.10186684876680374,0.06197734177112579,0.025598526000976562,0.03610527515411377,0.08664058148860931,0.1917143940925598,0.398684561252594,0.061324723064899445,0.06197734177112579,0.020589662715792656,community,curvature
160,u0.15_s03,matched_random,100,500,0.15,0.1,0.10186684876680374,0.10186684876680374,6.813680808080804,0.10298,0.10186685621738434,7.450580596923828e-09,0.10186684876680374,0.10186684876680374,0.10186684876680374,0.10186684876680374,0.10186684876680374,0.0,7.450580596923828e-09,2.2351741790771484e-08,community,curvature
160,u0.15_s04,nn,100,500,0.15,0.1,0.10866783559322357,0.10866783559322357,4.186203232323231,0.10978,0.10866783559322357,0.0667569488286972,0.025759905576705933,0.039245355129241946,0.08859916031360626,0.20654938519001007,0.40096744894981384,0.06592772156000137,0.0667569488286972,0.021858030930161476,community,curvature
160,u0.15_s04,matched_random,100,500,0.15,0.1,0.10866783559322357,0.10866783559322357,5.5168088888888915,0.11013999999999999,0.10866784304380417,7.450580596923828e-09,0.10866783559322357,0.10866783559322357,0.10866783559322357,0.10866783559322357,0.10866783559322357,1.4901161193847656e-08,7.450580596923828e-09,7.450580596923828e-09,community,curvature
200,u0.15_s00,nn,100,500,0.15,0.1,0.12866118550300598,0.12866118550300598,4.463296363636365,0.12814,0.12866118550300598,0.08149145543575287,0.04064789414405823,0.04184457957744599,0.10461704432964325,0.23178955018520356,0.23196542263031006,0.08034394681453705,0.08149145543575287,0.006060260813683271,community,no_curvature
200,u0.15_s01,nn,100,500,0.15,0.1,0.12881924211978912,0.12881924211978912,4.46229636363636,0.12738,0.12881924211978912,0.08131028711795807,0.04066088795661926,0.04191952645778656,0.10556043684482574,0.23173316121101378,0.23196592926979065,0.08028382807970047,0.08131028711795807,0.007046716287732124,community,no_curvature
200,u0.15_s02,nn,100,500,0.15,0.1,0.12862002849578857,0.12862002849578857,4.214729494949496,0.12908,0.12862002849578857,0.082163505256176,0.040609270334243774,0.04184442758560181,0.10297881066799164,0.2318348079919815,0.23196569085121155,0.0810091570019722,0.082163505256176,0.006547230761498213,community,no_curvature
200,u0.15_s03,nn,100,500,0.15,0.1,0.12742070853710175,0.12742070853710175,4.905581818181818,0.12596,0.12742070853710175,0.08121202141046524,0.040670573711395264,0.041961491107940674,0.10124211013317108,0.23176035284996033,0.23196515440940857,0.08015325665473938,0.08121202141046524,0.007402322255074978,community,no_curvature
200,u0.15_s04,nn,100,500,0.15,0.1,0.12920908629894257,0.12920908629894257,4.127440808080808,0.12942,0.12920908629894257,0.08217835426330566,0.040654778480529785,0.0417904794216156,0.10492613911628723,0.23183642029762266,0.2319657802581787,0.08102020621299744,0.08217835426330566,0.006261011585593224,community,no_curvature
