topology,topology_label,node_count,scenario_id,n_nodes,fixed_training_center,mean_c_kappa,std_c_kappa_nodes,median_c_kappa,p05_c_kappa,p95_c_kappa,mean_delta_c_kappa,mean_abs_delta_c_kappa,rmse_delta_c_kappa
random,Random-geometric topology,130,n130_s04,130,0.42143491589124205,0.4269879834946565,0.22108365985298536,0.4258241758241758,0.02812500000000001,0.8125,0.005553067603414435,0.17945680508262307,0.22115338842938542
random,Random-geometric topology,140,n140_s00,140,0.42143491589124205,0.4822103914100222,0.17777080859498143,0.4782608695652174,0.17987012987012987,0.8235294117647058,0.06077547551878011,0.13586849972854317,0.18787261325974938
random,Random-geometric topology,140,n140_s01,140,0.42143491589124205,0.47311507153148497,0.22353659157397227,0.4782608695652174,0.1407142857142857,0.8235294117647058,0.051680155640242975,0.18536226500849126,0.22943287963914114
random,Random-geometric topology,140,n140_s02,140,0.42143491589124205,0.4273284070532885,0.23548522856202875,0.4,0.0730769230769231,0.8261029411764697,0.00589349116204651,0.18858500683745882,0.2355589652485934
random,Random-geometric topology,140,n140_s03,140,0.42143491589124205,0.4457228696387366,0.25310494142216533,0.4891304347826087,0.0,0.8812499999999979,0.024287953747494605,0.20665538898107816,0.2542676071967449
random,Random-geometric topology,140,n140_s04,140,0.42143491589124205,0.4573728340204036,0.23672438573186094,0.4913793103448276,0.0,0.8130514705882351,0.03593791812916157,0.19083943489289779,0.23943677403353314
random,Random-geometric topology,150,n150_s00,150,0.42143491589124205,0.4636545813517475,0.2173086750281127,0.46743697478991597,0.01800000000000001,0.8125,0.04221966546050549,0.16711647219258802,0.22137199550546338
random,Random-geometric topology,150,n150_s01,150,0.42143491589124205,0.44676009864784,0.2212963432441398,0.46256684491978606,0.0,0.8119047619047611,0.025325182756597966,0.17323120738546158,0.2227407381124594
random,Random-geometric topology,150,n150_s02,150,0.42143491589124205,0.45668029785951,0.22335911462398353,0.4642857142857143,0.02812500000000001,0.7696428571428565,0.035245381968267986,0.18086133391916914,0.22612282289874883
random,Random-geometric topology,150,n150_s03,150,0.42143491589124205,0.42197165636557976,0.22614270120714158,0.4375,0.0,0.7397727272727269,0.0005367404743377142,0.18006374224876348,0.2261433381720525
random,Random-geometric topology,150,n150_s04,150,0.42143491589124205,0.4157342307155005,0.22515230793370708,0.42857142857142855,0.0,0.7397727272727269,-0.005700685175741563,0.1810343507891444,0.22522446487748124
