scenario_id,node,method,rank,score
auto_000,12,orc_min,42.0,0.15384615384615374
auto_000,13,orc_min,21.5,0.2142857142857142
auto_000,14,orc_min,37.5,0.1625000000000001
auto_000,15,orc_min,27.5,0.1875
auto_000,16,orc_min,35.5,0.1634615384615381
auto_000,17,orc_min,23.0,0.21250000000000036
auto_000,18,orc_min,43.0,0.1495726495726497
auto_000,19,orc_min,45.5,0.14772727272727249
auto_000,20,orc_min,86.0,-0.11616161616161647
auto_000,21,orc_min,71.0,-0.0064102564102566095
auto_000,22,orc_min,61.5,0.08333333333333326
auto_000,23,orc_min,18.5,0.2384615384615385
auto_000,24,orc_min,93.0,-0.14903846153846145
auto_000,25,orc_min,77.0,-0.03846153846153866
auto_000,26,orc_min,98.0,-0.23333333333333306
auto_000,27,orc_min,37.5,0.1625000000000001
auto_000,28,orc_min,39.0,0.15714285714285703
auto_000,29,orc_min,69.0,0.02083333333333326
auto_000,30,orc_min,73.0,-0.02136752136752129
auto_000,31,orc_min,76.0,-0.028846153846154077
auto_000,32,orc_min,61.5,0.08333333333333326
auto_000,33,orc_min,83.0,-0.10897435897435903
auto_000,34,orc_min,15.5,0.25
auto_000,35,orc_min,56.5,0.11111111111111116
auto_000,36,orc_min,47.0,0.14182692307692313
auto_000,37,orc_min,1.5,0.41666666666666696
auto_000,38,orc_min,66.5,0.03205128205128194
auto_000,39,orc_min,20.0,0.22435897435897423
auto_000,40,orc_min,15.5,0.25
auto_000,41,orc_min,45.5,0.14772727272727249
auto_000,42,orc_min,74.0,-0.021367521367521403
auto_000,43,orc_min,27.5,0.1875
auto_000,44,orc_min,66.5,0.03205128205128194
auto_000,45,orc_min,25.0,0.19444444444444464
auto_000,46,orc_min,51.5,0.125
auto_000,47,orc_min,18.5,0.2384615384615385
auto_000,48,orc_min,21.5,0.2142857142857142
auto_000,49,orc_min,80.0,-0.07142857142857162
auto_000,50,orc_min,87.0,-0.11666666666666681
auto_000,51,orc_min,94.0,-0.15625
auto_000,52,orc_min,91.5,-0.14583333333333326
auto_000,53,orc_min,29.0,0.18452380952380998
