node,x,y,label,node_curvature,absolute_node_curvature,curvature_rank_desc,absolute_curvature_rank_desc,degree,betweenness
72,215.31953738541597,171.8098223737515,1,0.1682291666666667,0.1682291666666667,60,61,8,0.08142485728888042
73,250.7696055978301,210.436942074802,1,0.28125,0.28125,13,13,6,0.0006568015441129905
74,329.542172056704,156.65325520585478,1,0.24608514847857557,0.24608514847857557,25,25,13,0.005578256440828534
75,294.65609636023,186.7101513300201,1,0.15673009115927067,0.15673009115927067,65,66,10,0.011600862928104921
76,252.09601792526513,220.21281075659945,1,0.2641666666666666,0.2641666666666666,21,21,5,0.0006155729314558064
77,313.28994166360616,169.751073444397,1,0.22070921006374,0.22070921006374,40,40,19,0.0345640504762939
78,346.45723118842346,165.39495699609705,1,0.2602472480220159,0.2602472480220159,23,23,10,0.0011558406351428975
79,243.8161420513219,175.54816133407238,1,0.09837962962962962,0.09837962962962962,76,79,9,0.15948792399952896
80,249.24817486933628,98.40311856453812,1,0.16130952380952393,0.16130952380952393,63,64,9,0.07193601741914138
81,319.4617866143203,164.5863714966119,1,0.2316757077126318,0.2316757077126318,31,31,17,0.010233333118487804
82,261.96363006366187,83.80634953283591,1,0.20766336837765412,0.20766336837765412,45,45,7,0.004881137521150048
83,287.48055965250444,90.94966550570385,1,0.09493371212121211,0.09493371212121211,77,81,8,0.035486423484748474
84,276.80486962223694,150.37658234815865,1,0.2601788993834449,0.2601788993834449,24,24,11,0.0052437985236982254
85,275.9642181893725,194.4049938706789,1,-0.11898148148148163,0.11898148148148163,99,73,9,0.05638293255633553
86,239.42927989413903,185.55039306436396,1,0.20462962962962963,0.20462962962962963,47,47,9,0.03461367949238367
87,294.29810472016095,191.91668198456694,1,0.16143575851393188,0.16143575851393188,62,63,9,0.010761121747122923
88,319.7658563423752,211.717840799569,1,0.037037037037037014,0.037037037037037014,87,92,3,0.0002811041772080733
89,347.750851994092,185.29255501988314,1,0.20512870127808214,0.20512870127808214,46,46,8,0.0023179529315441208
90,293.6044371600705,136.63026557589922,1,0.16971628603594546,0.16971628603594546,59,60,15,0.04535577227498163
91,268.65938642843287,109.12063167000383,1,-0.035832349468713054,0.035832349468713054,95,93,11,0.03345748192260312
92,290.1948036868368,138.95411229504683,1,0.22847298608438601,0.22847298608438601,35,35,14,0.02237544322067703
93,357.7122192414216,144.9581131219114,1,0.22379964806435396,0.22379964806435396,39,39,6,0.0003030793847120377
94,244.15640561911178,87.51953444773008,1,0.29844576719576726,0.29844576719576726,10,10,6,0.0006425610167106765
95,223.19500239945336,113.18541723631071,1,0.19618055555555555,0.19618055555555555,50,50,4,0.004152756471865934
96,337.35725178485836,123.2334004206727,1,0.019570135746606303,0.019570135746606303,88,95,6,0.00566216465942267
97,260.65296991787153,128.44258446798392,1,-0.09917568542568538,0.09917568542568538,98,78,10,0.149911614660947
98,223.1340295825319,125.90671492465012,1,-0.19101473922902484,0.19101473922902484,100,54,7,0.2737604365235606
99,310.1878663554036,154.05470772985132,1,0.27487098841346136,0.27487098841346136,17,17,16,0.010104280730195134
