model,model_label,panel,slot,node,node_min_curvature,broadcast_probability
v35_curvature_stage2,Curvature Stage-2,random_slot,246,22,-6.0,0.0651770532131195
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,22,-6.0,0.09027323597669601
v35_curvature_stage2,Curvature Stage-2,random_slot,246,23,-2.0,0.07158404588699341
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,23,-2.0,0.08182722878456115
v35_curvature_stage2,Curvature Stage-2,random_slot,246,24,-11.0,0.1583958864212036
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,24,-11.0,0.10458598548173904
v35_curvature_stage2,Curvature Stage-2,random_slot,246,25,-3.0,0.10633841156959534
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,25,-3.0,0.0844632392525673
v35_curvature_stage2,Curvature Stage-2,random_slot,246,26,0.0,0.07722392678260803
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,26,0.0,0.07177541023492813
v35_curvature_stage2,Curvature Stage-2,random_slot,246,27,-14.0,0.1910858452320099
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,27,-14.0,0.12220481997728348
v35_curvature_stage2,Curvature Stage-2,random_slot,246,28,-2.0,0.15053445100784302
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,28,-2.0,0.0984535830616951
v35_curvature_stage2,Curvature Stage-2,random_slot,246,29,-5.0,0.10721418261528015
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,29,-5.0,0.08767819130420684
v35_curvature_stage2,Curvature Stage-2,random_slot,246,30,-18.0,0.09373694658279419
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,30,-18.0,0.12333184540271759
v35_curvature_stage2,Curvature Stage-2,random_slot,246,31,-8.0,0.07914021611213684
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,31,-8.0,0.09238507288694382
v35_curvature_stage2,Curvature Stage-2,random_slot,246,32,-2.0,0.11330324411392212
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,32,-2.0,0.0781971601843834
v35_curvature_stage2,Curvature Stage-2,random_slot,246,33,-7.0,0.05734443664550781
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,33,-7.0,0.08859780633449554
v35_curvature_stage2,Curvature Stage-2,random_slot,246,34,-5.0,0.08866262435913086
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,34,-5.0,0.09026596665382386
v35_curvature_stage2,Curvature Stage-2,random_slot,246,35,3.0,0.10577797889709473
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,35,3.0,0.07250889611244202
v35_curvature_stage2,Curvature Stage-2,random_slot,246,36,-4.0,0.07780426740646362
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,36,-4.0,0.08267028433084488
v35_curvature_stage2,Curvature Stage-2,random_slot,246,37,-11.0,0.08594155311584473
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,37,-11.0,0.11635118371248246
v35_curvature_stage2,Curvature Stage-2,random_slot,246,38,-5.0,0.05939796566963196
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,38,-5.0,0.087019189119339
v35_curvature_stage2,Curvature Stage-2,random_slot,246,39,-7.0,0.1441141664981842
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,39,-7.0,0.10508715999126435
v35_curvature_stage2,Curvature Stage-2,random_slot,246,40,-5.0,0.10962498188018799
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,40,-5.0,0.10272314971685409
v35_curvature_stage2,Curvature Stage-2,random_slot,246,41,-5.0,0.07803168892860413
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,41,-5.0,0.09973774594068527
v35_curvature_stage2,Curvature Stage-2,random_slot,246,42,-11.0,0.08105024695396423
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,42,-11.0,0.1199395849108696
v35_curvature_stage2,Curvature Stage-2,random_slot,246,43,-19.0,0.19112229347229004
v35_curvature_stage2,Curvature Stage-2,mean_500_slots,all,43,-19.0,0.13701965856552123
v35_curvature_stage2,Curvature Stage-2,random_slot,246,44,3.0,0.0500548779964447
