checkpoint_episode,scenario_id,policy,n_nodes,slots,update_probability,target_tx_ratio,matched_rate_probability,policy_probability,mean_VAoI,actual_tx_ratio,action_prob_mean,action_prob_std,action_prob_min,action_prob_p10,action_prob_p50,action_prob_p90,action_prob_max,action_prob_node_std_mean,action_prob_global_std,action_prob_per_node_mean_std,topology,model,model_label,node_count
490,n130_s02,nn,130,200,0.2,0.1,0.09764435887336731,0.09764435887336731,6.697341979725701,0.09730769230769232,0.09764435887336731,0.03566553071141243,0.035260170698165894,0.054724642634391786,0.09319894015789032,0.14727261662483218,0.23830202221870422,0.03524281829595566,0.03566553071141243,0.014712215401232243,community,single_n_v3_3,V3.3 single-N MPNN,130
490,n130_s03,nn,130,200,0.2,0.1,0.09948877990245819,0.09948877990245819,6.667650864639235,0.10134615384615385,0.09948877990245819,0.037301577627658844,0.0359131395816803,0.055557709932327275,0.09350563585758209,0.1522502988576889,0.24237796664237976,0.03691188618540764,0.037301577627658844,0.015499433502554893,community,single_n_v3_3,V3.3 single-N MPNN,130
490,n130_s04,nn,130,200,0.2,0.1,0.10125944763422012,0.10125944763422012,6.898316338700056,0.10115384615384615,0.10125944763422012,0.03709465265274048,0.03506544232368469,0.05704951882362366,0.09602801501750946,0.1523544877767563,0.23937338590621948,0.036554958671331406,0.03709465265274048,0.014022152870893478,community,single_n_v3_3,V3.3 single-N MPNN,130
490,n140_s00,nn,140,200,0.2,0.1,0.09871429204940796,0.09871429204940796,6.165767728674204,0.09735714285714286,0.09871429204940796,0.03609936311841011,0.035961687564849854,0.05578191876411438,0.09302378818392754,0.15023367106914523,0.21396291255950928,0.035628341138362885,0.03609936311841011,0.012772738002240658,community,single_n_v3_3,V3.3 single-N MPNN,140
490,n140_s01,nn,140,200,0.2,0.1,0.09942089021205902,0.09942089021205902,7.814301901336075,0.09846428571428571,0.09942089021205902,0.03673010319471359,0.0363120436668396,0.05490244925022125,0.09518703818321228,0.14797933995723728,0.24447178840637207,0.03632326051592827,0.03673010319471359,0.015643410384655,community,single_n_v3_3,V3.3 single-N MPNN,140
490,n140_s02,nn,140,200,0.2,0.1,0.09801794588565826,0.09801794588565826,7.366375642343268,0.101,0.09801794588565826,0.03600924834609032,0.035931020975112915,0.05529927611351013,0.09287838637828827,0.14899720549583437,0.23999634385108948,0.0356103852391243,0.03600924834609032,0.015098215080797672,community,single_n_v3_3,V3.3 single-N MPNN,140
490,n140_s03,nn,140,200,0.2,0.1,0.09918641299009323,0.09918641299009323,6.625169835560122,0.09617857142857143,0.09918641299009323,0.036949772387742996,0.035732805728912354,0.05444624722003937,0.09494546055793762,0.148318499326706,0.24531754851341248,0.03656567260622978,0.036949772387742996,0.015475470572710037,community,single_n_v3_3,V3.3 single-N MPNN,140
490,n140_s04,nn,140,200,0.2,0.1,0.10135351866483688,0.10135351866483688,7.099913669064751,0.10071428571428571,0.10135351866483688,0.03791322186589241,0.03403496742248535,0.05644445717334747,0.09580214321613312,0.15606893301010133,0.24357029795646667,0.03751438856124878,0.03791322186589241,0.01655772142112255,community,single_n_v3_3,V3.3 single-N MPNN,140
490,n150_s00,nn,150,200,0.2,0.1,0.0988166555762291,0.0988166555762291,7.175334675615212,0.0988,0.0988166555762291,0.0375964492559433,0.03510811924934387,0.05425761640071869,0.09359206259250641,0.14978631138801576,0.25017136335372925,0.03717789053916931,0.0375964492559433,0.017401300370693207,community,single_n_v3_3,V3.3 single-N MPNN,150
490,n150_s01,nn,150,200,0.2,0.1,0.09828366339206696,0.09828366339206696,7.750780536912746,0.09716666666666667,0.09828366339206696,0.036736663430929184,0.03590589761734009,0.0546646237373352,0.09315046668052673,0.1499018430709839,0.24007678031921387,0.03635691851377487,0.036736663430929184,0.01669478416442871,community,single_n_v3_3,V3.3 single-N MPNN,150
